书名,作者,国家/地区,类型,推荐译本/版本,阶段,阅读状态,优先级,开始日期,完成日期,一句话笔记
我的名字叫红,帕慕克,土耳其,跨文化史诗,沈志兴译 上海译文出版社,第一阶段：入门,想读,P0必看,,,伊斯兰世界谋杀悬疑 叙事技巧高超
纳尔齐斯与歌尔德蒙,黑塞,德国,成长史诗,杨玉功译 上海译文出版社,第一阶段：入门,想读,P1重要,,,理性与感性 两个男人的一生
一个陌生女人的来信,茨威格,奥地利,情感短篇,张玉书译 人民文学出版社,第一阶段：入门,想读,P0必看,,,极致暗恋 一生的情感压缩在一封信里
动物凶猛,王朔,中国,青春成长,原版,第一阶段：入门,想读,P1重要,,,北京大院少年 阳光灿烂的日子原著
妻妾成群,苏童,中国,女性悲剧,原版,第一阶段：入门,想读,P0必看,,,大院深处女性悲剧 大红灯笼高高挂原著
人性的枷锁,毛姆,英国,成长史诗,张柏然译 上海译文出版社,第一阶段：重温,想读,P2扩展,,,半自传 成长与解脱 已读过待重温
美声,安·帕奇特,美国,跨文化困境,赵丕慧译 上海译文出版社,第二阶段：跨文化,想读,P1重要,,,人质危机中的歌剧与情感 类似莫斯科绅士的优雅与困境
长日将尽,石黑一雄,英国,克制情感,冒国安译 译林出版社,第二阶段：跨文化,想读,P1重要,,,英式管家一生 压抑的情感爆发
纯真年代,伊迪丝·华顿,美国,上流社会三角恋,叶君健译 人民文学出版社,第二阶段：跨文化,想读,P1重要,,,上流社会的克制与激情撕扯
分成两半的子爵,卡尔维诺,意大利,寓言故事,吴正仪译 译林出版社,第二阶段：跨文化,想读,P2扩展,,,善恶两半的人 寓言但好读
安娜·卡列尼娜,托尔斯泰,俄国,爱情史诗,草婴译 上海译文出版社,第三阶段：命运与时代,想读,P0必看,,,爱情与社会的撕扯 史诗感 故事性强
额尔古纳河右岸,迟子建,中国,民族史诗,原版,第三阶段：命运与时代,想读,P0必看,,,中国版百年孤独 鄂温克族史诗
长恨歌,王安忆,中国,城市史诗,原版,第三阶段：命运与时代,想读,P1重要,,,上海40年 一个女人与一座城 海派文学巅峰
尘埃落定,阿来,中国,民族史诗,原版,第三阶段：命运与时代,想读,P1重要,,,藏族土司兴衰 中国版百年孤独 茅盾文学奖
爱与黑暗的故事,阿摩司·奥兹,以色列,家族史,钟志清译 译林出版社,第三阶段：命运与时代,想读,P1重要,,,以色列家族史 犹太文化 情感深沉
霍乱时期的爱情,马尔克斯,哥伦比亚,爱情史诗,杨玲译 南海出版公司,第四阶段：巅峰体验,想读,P0必看,,,51年9个月4天的爱情 比百年孤独更故事化
卡拉马佐夫兄弟,陀思妥耶夫斯基,俄国,哲学史诗,荣如德译 上海译文出版社,第四阶段：巅峰体验,想读,P0必看,,,终极挑战 弑父信仰自由意志 故事性与哲学性巅峰
受活,阎连科,中国,荒诞史诗,原版,第四阶段：巅峰体验,想读,P1重要,,,中国乡土荒诞史诗 残疾人的乌托邦
跳房子,科塔萨尔,阿根廷,实验叙事,孙家孟译 重庆出版社,第四阶段：巅峰体验,想读,P2扩展,,,拉美文学爆炸 游戏式结构可跳读 挑战清单
万延元年的足球队,大江健三郎,日本,家族史,邱雅芬译 作家出版社,第四阶段：巅峰体验,想读,P2扩展,,,家族史神话政治暴力 诺贝尔文学奖 进阶阅读
